"","...1","GEOID","presAQRespHaz","presAQCanRisk","PerLeadPaint","presOzone","presDiesel","presPM25","presRMPProx","presProxTSDFx","presNPLprox","presPWDIS","popDens","perHGLPD","perCrudePipe","perNatGasPipe","perPetroPD","presBWS","presBWD","presIAV","presSEV","presGTD","presRFR","presCFR","presDRR","presCEP"
"17",17,"05033",0.478432718476519,33.98807534318,0.133952220359024,42.0623060926998,0.186116722703066,8.94240448334604,0.263579488834832,0.240952809710165,0.009463612435206,0.05699574362788,41.8243278879794,0,0,47.052643488585,0,0,0.044283642744181,1.6162850842948,0.547162992113565,0,1.35532003922133,0,2.05839374772206,2.93483099798322
"18",18,"05035",0.461072327651588,32.246926601568,0.143972606150973,42.9030108015098,0.286688274512838,8.6774805637058,0.18607083601335,0.257967141296525,0.033837426458387,0.003545567530422,30.4563932224156,36.0815555348518,50.9097910589465,80.0283130092703,33.0507650542857,3.16105442451536,2.24606936522453,1.40345324753266,1.72007286318908,1.60297399999975,1.04979876938273,0,2.23389464237122,2.93483099798322
"19",19,"05037",0.424120984766806,30.6513414665511,0.199959612846079,42.2197756988437,0.196995846999891,8.58094918404747,0.082951423326888,0.12501267140096,0.014206542332336,100.524666370307,10.5973061789848,3.29047785286217,11.6923088787728,55.369212696207,2.65226000357662,4.23830321745008,3.02049483374668,1.47202049964686,1.97312051763997,1.6029739999984,1.29553042848742,0,2.2420567007007,2.93483099798322
"20",20,"05039",0.566583467447384,38.7426904329638,0.217571315241337,38.0538837714286,0.123494601771877,9.09382510909084,0.031608047081739,0.057655781936895,0.022703256625244,0.001036392923615,4.29185146280632,32.7928964509507,0,55.2644115400424,29.5882424905957,0.310673748112165,0.319346686274248,1.77533837565317,1.32988191853514,1.60297399999901,0.35319106488476,0,2.05350586940906,2.93483099798322
"21",21,"05041",0.436278764789242,31.4456998426934,0.202134244551231,37.6605199696326,0.154722673805604,8.35411769690331,0.055293489147818,0.155929646632522,0.012764894580156,0.001303063513408,5.71293378407972,0,0,2.51635060065946,0,0.534454939267672,0.434079545136124,1.45171269794893,0.894694655587184,1.60297399999944,1.56768571587073,0,2.00530290169095,2.93483099798322
"22",22,"05043",0.493391996572549,35.2306317105865,0.145216161169822,37.2116957933153,0.1264869266729,8.61136695277515,0.025453602188793,0.136741396137078,0.011511910918063,0.000185186750242,8.61892061428799,0,0,58.8565073910624,0,1.5027059965895,0.92182496945564,1.68728412827835,1.58916094788975,1.60297399999832,1.44615226861092,0,2.03915493933133,2.93483099798322
"23",23,"05045",0.529408165089272,36.970046721851,0.060980314246891,42.1423271355537,0.235625639876485,9.36035477072872,0.138599672036196,0.413001089302751,0.030684631512583,0.002635297101502,73.3707116270765,0,24.1810884773942,87.7224205501728,0,0.211045959947459,0.244887234350938,1.60452640772429,0.626765734841262,0,0.512315569361621,0,2.06909536040672,2.93483099798322
"24",24,"05047",0.53963735762452,35.5763828792441,0.141046877321697,41.5109959203328,0.163644425864828,8.70618689557705,0.115753552465723,0.103465008761668,0.012731058139823,0.000226108425071,11.5778196131731,0,22.3842956727761,86.8665120027654,0,0,0.043420333554107,1.66037239880222,0.554134117478123,0,1.33571531961799,0,2.06287247890139,2.93483099798322
"25",25,"05049",0.495238651526736,32.5843943899177,0.173894589501678,41.4580403945622,0.133073923717954,8.64989882008586,0.025913503974585,0.044463625295701,0.008388643993008,0.015421798810388,7.59081478270203,0,0,0,0,2.59220113411778,1.59790207025091,2.74088347442335,1.73570939397759,0,1.07645280228338,0,2.3941355634529,2.93483099798322
"26",26,"05051",0.536596624142594,36.541339701214,0.126409786873876,39.6640796628112,0.142215166649982,8.96442229763998,0.189605802654829,0.272626892776229,0.021154280361485,0.212718453517225,56.9755860478701,0,17.4015671306448,39.4696746476494,0,0.44586038752593,0.360452435240298,1.75848665192415,1.35900382771427,0,0.325407166529771,0,2.05350378604559,2.93483099798322
